"Route name","ID (roles)","Role (roles)"
"outgoings",12,"Warehouse Operator"
"",13,"Warehouse Owner"
"exporter",11,"Exporter"
"abroadECTA",9,"Market Inspection and Control Supervisor"
"",10,"Market Inspection and Control Team"
"ecta",7,"Market Inspection and Control Supervisor"
"",8,"Market Inspection and Control Team"
"",14,"Warehouse Owner"
"",15,"Warehouse Operator"
"warehouse",5,"Warehouse Operator"
"",6,"Warehouse Owner"
"balance",3,"Market Inspection and Control Supervisor"
"",4,"Accounts User"
"balance2","",""
